year,month,period,date,arrivals,months,yoy_pct,yoy_base_arrivals,yoy_basis,data_quality_note,source_title,source_published,source_page_url,source_file_url,source_local_file,source_sha256,parse_note
2013,1,YTD Jan,2013-01-01,2318447,1,,,YTD same 1 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,2,YTD Feb,2013-02-01,4685704,2,,,YTD same 2 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,3,YTD Mar,2013-03-01,7007904,3,,,YTD same 3 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,4,YTD Apr,2013-04-01,9065759,4,,,YTD same 4 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,5,YTD May,2013-05-01,11009727,5,,,YTD same 5 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,6,YTD Jun,2013-06-01,13071509,6,,,YTD same 6 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,7,YTD Jul,2013-07-01,15220682,7,,,YTD same 7 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,8,YTD Aug,2013-08-01,17576342,8,,,YTD same 8 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,9,YTD Sep,2013-09-01,19571685,9,,,YTD same 9 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
2013,10,YTD Oct,2013-10-01,21626233,10,,,YTD same 10 months,,สถิตินักท่องเที่ยวชาวต่างชาติที่เดินทางเข้าประเทศไทย ( International Tourist Arrivals to Thailand 2013),2017-12-04T00:00:00.000Z,https://www.mots.go.th/news/category/475,https://www.mots.go.th/download/article/article_20171204160356.xlsx,work\cache\source_files\2013_475_1889_สถ_ต_น_กท_องเท_ยวชาวต_างชาต_ท_เด_นทางเข_าประเทศไทย_Internati.xlsx,cd38fe52a8c7987adc35527bc825f32ad28eaafcad5e5f612f7529024caa0dc3,derived from monthly arrivals
